"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"118","Mozambique",84.5997983678448,327,35.6245980979457,289,43.6053061548878,325,32.2688402884263,263,38.7959386595599,21
"119","Myanmar",75.1139045689799,280,37.5086021141458,293,18.66491081578,136,35.6822982033689,269,33.9190628328009,14
"120","Namibia",95.6600866100977,413,62.0203968818041,380,59.1590158909064,375,48.1648122199109,345,46.5243890593182,46
"121","Nepal",79.0730561951686,296,34.0152976613531,285,35.6889198876476,301,34.6946305499353,265,53.8682166024687,339
"122","Netherlands",97.2868673578025,427,95.8055527351903,433,94.023182151596,435,56.296771738331,386,86.9742960737668,420
"123","New Zealand",99.9587346389694,440,98.6710438736025,437,94.506146940309,436,65.5641177261217,428,92.6872559460419,432
"124","Nicaragua",86.1348976442195,344,49.0579979918999,325,41.7797880524385,319,37.512139826806,276,40.16080407335,25
"125","Niger",77.6992262155302,287,42.4859827844902,305,41.0698726126483,315,20.0835228568772,137,47.9555894648165,50
"126","Nigeria",50.5590294385593,3,22.5984589524035,140,34.8359689159173,296,39.7901981889852,317,41.9778371189844,31
"127","Norway",99.0278116743243,434,99.0049751243781,439,95.3342438573603,437,62.2033775932244,415,95.6945923559342,436
"128","Oman",92.2718762416452,392,55.0335059396893,348,50.7062650865213,354,52.0860444428748,367,70.2786652467164,386
"129","Pakistan",59.1303334179485,7,28.314211256642,149,35.674648761013,300,31.1241208070098,257,62.7403981159167,367
"130","Palestinian Territory, Occupied",60.1190476190476,8,55.5730418203766,353,41.8881125437285,320,24.468085106383,147,38.0099502487562,19
"131","Panama",86.813276599357,350,40.4905743391884,299,62.6980901530602,384,63.4179167405748,420,52.2054088803409,332
"132","Papua New Guinea",84.1579272527055,323,23.6428402206654,142,44.9462665246435,332,36.8434988751675,271,33.6777330952621,13
"133","Paraguay",82.6290751017781,315,42.1413341455985,303,43.874779464991,327,49.1752964877102,350,51.4402958583017,325
"134","Peru",81.4739397454988,309,55.506481199445,352,56.6702043440924,369,62.6073985287641,417,58.2448160334289,354
"135","Philippines",72.0817709456767,241,55.157884049142,349,53.9012858119955,362,50.9526872267788,361,34.9004975124378,15
"136","Poland",95.5291339343928,411,75.6579912230232,406,75.4513888888889,404,68.6530511267576,430,81.2798008537363,403
"137","Portugal",94.2982294802097,401,80.5400435464401,415,78.064964418517,414,49.0664487906625,349,93.7344692935747,433
"138","Qatar",98.1564464157497,430,74.903543506955,405,60.441529322555,379,75.2216925144443,434,87.5,423
"139","Romania",89.4332969019146,369,46.4488780586862,316,60.3543001574365,378,60.7001165722615,409,73.5961742582791,392
"140","Russian Federation",75.7854026339876,283,51.0215363093828,332,40.0339773574883,313,53.7400762765226,380,66.5423062182873,378
"141","Rwanda",86.4194576788352,345,56.7970803578479,358,44.3152947049579,330,56.102948249061,385,44.8977600460601,41
"142","Saint Vincent And The Grenadines",93.6904761904762,399,69.6288963346533,395,72.0665085076282,399,35.8045984512479,270,50,314
"143","Samoa",94.7619047619048,404,54.5396599767602,347,57.3702705389999,372,43.8066997770716,331,50,314
"144","Sao Tome And Principe",84.1666666666667,324,47.2738349070972,322,43.3197115980084,324,19.1489361702128,136,51.2437810945274,323
"145","Saudi Arabia",85.0482745773543,337,50.512742410397,329,39.7430956371914,312,59.231922415953,397,85.56531771388,414
"146","Senegal",87.5656738220803,354,51.5799686375379,333,50.2780590373251,352,20.9411474954314,141,49.2816711614098,310
"147","Serbia",87.6026770608216,355,59.9773242630385,367,55.2152753694391,366,49.0153094932099,348,71.2464744082216,389
"148","Sierra Leone",86.8006258186753,349,43.5289538701053,308,36.9490194277237,306,37.6853203324607,278,45.5225911620456,43
"149","Singapore",99.0294622887656,435,93.2878126374928,430,84.8929734312082,424,67.890301926832,429,58.6483848065318,355
"150","Slovakia",97.1735290962061,426,69.0250561252693,394,74.6892821705874,402,71.114918988167,432,86.0776080548624,416
"151","Slovenia",95.3860964029574,408,78.2623165352376,410,74.4689690728034,400,55.252193980227,383,87.4126880683554,422
"152","Solomon Islands",91.4170171274829,388,35.2895387010526,288,38.9284707944215,311,51.0228832360469,362,28.5986865459709,8
"153","Somalia",64.8362830318333,9,0.588892273327242,1,2.30654761904762,2,NA,440,0,1
"154","South Africa",80.9058513102931,301,60.0117327196218,368,65.2674468651688,389,49.5027118964919,353,52.0618861673175,329
"155","South Africa",80.9058513102931,301,60.0117327196218,368,65.2674468651688,389,60.1325666752828,406,52.0618861673175,329
"156","South Africa",80.9058513102931,301,60.0117327196218,368,65.2674468651688,389,44.5433686392763,335,52.0618861673175,329
"157","Spain",88.355198079628,361,79.4011800408389,413,77.9070857795173,413,53.2378320934983,374,87.2451109733547,421
"158","Sri Lanka",82.8972881583741,316,60.1578276418362,371,45.8769621078881,336,53.7621002062924,381,65.034147685428,373
"159","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,16.0115211441688,101,48.5187392819361,52
"160","Sudan",70.4222725902145,142,29.0193025800702,150,19.5766114881881,138,15.4255319148936,69,48.5187392819361,52
"161","Sudan",66.930209098151,11,29.3774889723717,214,16.670667949279,6,31.0060177354868,225,48.5187392819361,52
