"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","IC.BUS.EASE.XQ","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","WorldRiskIndex"
"222","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,7.34209090909091,35.29,1,8.08
"223","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,7.34209090909091,35.29,1,8.08
"224","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,186,NA,NA,35.29,1,8.08
"225","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,NA,35.29,1,8.08
"226","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"227","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,7.34209090909091,35.29,1,8.08
"228","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,NA,35.29,1,8.08
"229","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,NA,NA,35.29,1,8.08
"230","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"231","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,2.53,7.34209090909091,35.29,1,8.08
"232","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,7.34209090909091,35.29,1,8.08
"233","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,186,2.53,7.34209090909091,35.29,1,8.08
"234","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,7.34209090909091,35.29,1,8.08
"235","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,160,2.53,7.34209090909091,35.29,1,8.08
"236","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"237","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"238","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,NA,35.29,1,8.08
"239","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,NA,35.29,1,8.08
"240","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"241","Sudan",576,99,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,2.53,7.34209090909091,35.29,1,8.08
"242","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"243","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,7.34209090909091,35.29,1,8.08
"244","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,NA,35.29,1,8.08
"245","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,59,186,NA,NA,35.29,1,8.08
"246","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"247","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,NA,35.29,1,8.08
"248","Sudan",1269,99,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,186,2.53,7.34209090909091,35.29,1,8.08
"249","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,59,160,NA,NA,35.29,1,8.08
"250","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,7.34209090909091,35.29,1,8.08
"251","Sudan",1269,271.9,-2.2,-1.78,-1.53,-1.44,-1.25,-1.49,35,160,2.53,7.34209090909091,35.29,1,8.08
"252","Sudan",1269,271.9,-1.76,-1.41,-1.49,-1.51,-1.44,-1.36,35,160,NA,7.34209090909091,35.29,1,8.08
