"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"52","El Salvador",85.5501262130542,87,56.7440574903261,102,54.9451475073007,110,43.9145710822269,80,40.7571037252502,28
"53","Equatorial Guinea",89.0535317843496,112,26.1526832955404,19,14.6950596029406,5,37.0725467961499,51,41.782037628683,30
"54","Eritrea",82.0746278159188,55,22.1037668798863,11,7.59422538884348,3,11.6344314942446,3,51.5308839190628,73
"55","Estonia",94.2593044546547,142,83.0981148678377,161,81.3462225896659,160,63.6432085641196,168,82.3602258498067,150
"56","Ethiopia",71.2947868490632,17,24.6612741282251,16,30.7986902422376,33,53.3453236351427,123,50.5235448600095,65
"57","Fiji",88.237462109556,104,33.1903408129421,27,35.6674357868111,45,50.8980655964663,106,52.3423969962046,78
"58","Finland",99.2320693163744,181,97.8734445685405,179,97.6625602772755,183,57.3384269398837,135,94.9814028897048,176
"59","France",91.4342012028263,130,86.4876298778218,163,83.9202308358173,165,50.7548338489461,105,91.2150906807814,171
"60","French Guiana",85.3571428571429,82,74.6691711510475,149,81.4014449343693,161,NA,181,25,5
"61","Gabon",91.112072004518,127,53.150912106136,86,36.7658661349055,50,30.2400883596134,29,53.284270871415,81
"62","Gambia",87.9953759215439,101,38.8759152085378,41,35.2689348743948,43,23.8993070252471,17,41.9994542728318,32
"63","Georgia",84.7909261008125,76,67.9600861903634,135,64.4332061042439,131,73.1165866033633,176,61.6751439819009,109
"64","Germany",95.4776937143423,154,92.1306167574824,171,89.0490907145472,171,53.6868465387,125,91.7153759071169,173
"65","Ghana",87.7776186113852,100,52.7921616407757,84,57.4201085266197,118,53.2060608634117,118,49.841571341023,58
"66","Greece",86.8156287249357,95,67.5398517616002,132,67.5728711662689,136,46.1007503682396,87,75.1344184296833,138
"67","Guatemala",78.383423586573,39,50.9064654053993,76,43.7085103462228,72,42.7166678694539,76,27.7966574652474,7
"68","Guinea",78.1664738984801,37,31.3179002944461,26,27.5441955942541,26,20.4973444881975,9,49.3212496269098,56
"69","Guinea-Bissau",81.0351828468147,47,16.0027526765267,5,21.5196289919933,15,18.894734862124,7,41.6187610050564,29
"70","Guyana",84.9133427418356,78,51.8072900802112,81,48.1347468904908,91,40.2682359402676,68,44.7684103444439,40
"71","Haiti",81.4448948263848,50,38.9616543134667,42,28.6709316623592,30,17.4779446267265,6,24.0460724421909,4
"72","Honduras",83.4570940461158,62,45.9110343971751,59,42.6263345636503,67,42.6852696819875,75,35.30018526466,16
"73","Hungary",94.6000089604784,147,71.7636308254645,141,71.7028717373892,142,59.7728301003042,145,81.884304074233,148
"74","Iceland",98.4920634920635,175,93.3523990027188,174,85.7439985921541,168,61.264772610317,159,97.0215306145877,180
"75","India",45.135582010582,2,54.2846989542086,89,52.5668116142474,104,37.5868987058734,55,59.4826295687464,103
"76","Indonesia",82.4308304123353,57,44.6035130470098,57,50.7353070700565,101,47.2064957980465,88,51.5655857735508,74
"77","Iran, Islamic Republic of",76.7298969898688,30,51.7401653862208,80,24.0598172827885,18,35.3494402358501,46,66.4926697714834,122
"78","Iraq",68.6448377147769,13,43.3100935233131,51,27.1730078222839,24,49.267327902002,98,65.4537659589875,119
"79","Ireland",95.4497806451309,153,90.8964249049537,168,87.9718021391552,170,63.0870551652011,165,88.7428671339787,167
"80","Israel",79.7669921914147,44,79.2720073103868,155,77.2819214964178,153,62.491485711024,162,82.3862229498584,151
"81","Italy",92.2285417175115,132,67.5155966200742,131,71.0518117931526,141,42.5795482389024,74,85.9212104193269,157
"82","Jamaica",89.5591503580065,116,58.4300718629077,109,59.8283981314045,121,47.3937330179218,89,51.8359480552509,75
"83","Japan",95.967778827097,161,89.4653715549238,167,83.6175671788859,163,55.406525984518,130,78.2174413696516,140
"84","Jordan",83.3593246157311,60,68.480161550524,137,47.1113689753689,88,47.9361968517398,91,70.4524678700922,132
"85","Kazakhstan",84.8522582174071,77,52.5992486546858,83,36.8175576831507,51,51.7147693019751,111,67.5679907173398,124
"86","Kenya",78.0016718366269,35,37.138006114552,37,45.691331666763,81,38.6741948348737,61,47.8563960460389,49
"87","Kiribati",98.4523809523809,174,63.8118929163705,128,44.2330628425002,74,25.3470572097536,21,59.5891018814341,104
"88","Korea, Democratic People's Republic of",83.6229925875622,64,44.0986676594353,56,2.13089802130898,1,NA,182,0,1
"89","Korea, Republic of",90.1005401046254,122,65.1876671066436,130,75.6879298884458,150,65.3371263623089,170,79.1222932197373,142
"90","Kosovo",71.0714285714286,16,33.2664906758723,29,48.3535427349369,92,49.9426108493518,103,NA,182
"91","Kuwait",89.5883190732036,117,50.245371780553,73,47.3622868964359,89,42.8221069643351,77,81.7137025204118,146
"92","Kyrgyzstan",81.1196353556897,48,46.5422321499081,62,41.5332610487695,63,41.6959247614683,69,58.1317056888084,97
"93","Lao People's Democratic Republic",88.7627524703214,108,43.3399893954265,52,28.5238939876858,29,37.3908727200919,53,50.5046651725399,64
"94","Latvia",92.9737823476218,137,73.0339233537528,143,74.6554106079748,146,58.4947721464224,139,78.3837821895139,141
"95","Lebanon",75.0356237966726,25,51.6019674868289,79,46.699126770817,86,45.7158743125138,84,66.2495562655307,120
"96","Lesotho",90.6902044285985,124,46.3606006249929,60,49.2288921160627,95,40.0436007021752,67,42.4394710861737,33
"97","Liberia",84.6976663848832,72,19.8807549553818,9,33.2854142755304,37,20.6039061266914,11,46.351963999668,45
"98","Libya",74.0725138504237,23,13.3643009442583,2,20.5794712182891,14,37.0309855068999,50,55.5422435214767,89
"99","Lithuania",95.7152466076926,159,74.0825351699552,147,76.4618245642283,151,60.0614844375926,149,81.7236677810804,147
"100","Luxembourg",99.0459684331778,179,96.1518935932582,177,93.0603894352377,176,51.3027207734833,109,95.6691515796947,177
"101","Macedonia, the former Yugoslav Republic of",85.5349228750402,86,63.7803048250809,127,55.6366649601867,112,58.7945290545211,141,60.0929325682556,106
"102","Madagascar",81.4764038770575,53,46.8197560948094,64,33.958896712549,39,22.9028775956595,14,40.3990078008961,26
"103","Malawi",86.5058673448334,90,25.0499204656987,17,43.1251909468487,68,30.2851761652749,30,39.3350605863123,23
"104","Malaysia",88.4504337633671,106,58.2309540731716,108,64.3339447072974,130,64.0703155779406,169,66.3217812252193,121
"105","Maldives",89.5982227598509,118,53.376541329633,87,45.3885106076995,79,45.9309398826795,86,59.3905472636816,102
"106","Mali",73.2071523847401,21,46.9415958754978,65,41.4053085976313,62,23.5420340659951,16,49.4898598947047,57
"107","Malta",96.5071112007159,165,83.3124626301599,162,82.6969031861632,162,45.7747477446707,85,86.5415335463259,160
"108","Mauritania",80.2928366870282,45,38.3614805789646,40,34.1441366587673,40,25.4838608787985,22,44.125344170168,39
"109","Mauritius",95.9325735790862,160,61.6246996310962,120,75.251590535642,148,58.0783768608287,138,56.7515457854497,93
"110","Mexico",66.8639327775479,10,54.3811554472535,90,60.5068193828598,125,53.4080261078608,124,56.7301493950199,92
"111","Moldova, Republic of",88.1268709419939,103,55.8911790255074,101,49.4078333966382,96,48.8377608864263,94,64.455288343515,115
"112","Mongolia",92.3356960700049,134,58.175110840356,106,48.3732764896607,93,53.1833103075705,117,61.8432950617873,111
"113","Montenegro",92.3735246159669,135,62.864250177683,125,57.1585534898891,116,58.7299550637192,140,67.773631840796,126
"114","Morocco",84.0550350225014,65,58.2106474430568,107,46.1763315016198,84,41.8350638272189,70,53.7315287248528,83
"115","Mozambique",84.5997983678448,71,35.6245980979457,34,43.6053061548878,71,32.2688402884263,41,38.7959386595599,21
"116","Myanmar",75.1139045689799,26,37.5086021141458,38,18.66491081578,9,35.6822982033689,47,33.9190628328009,14
"117","Namibia",95.6600866100977,157,62.0203968818041,123,59.1590158909064,120,48.1648122199109,92,46.5243890593182,46
"118","Nepal",79.0730561951686,41,34.0152976613531,30,35.6889198876476,47,34.6946305499353,43,53.8682166024687,84
"119","Netherlands",97.2868673578025,170,95.8055527351903,176,94.023182151596,178,56.296771738331,132,86.9742960737668,162
"120","New Zealand",99.9587346389694,183,98.6710438736025,180,94.506146940309,179,65.5641177261217,171,92.6872559460419,174
"121","Nicaragua",86.1348976442195,88,49.0579979918999,70,41.7797880524385,65,37.512139826806,54,40.16080407335,25
"122","Niger",77.6992262155302,32,42.4859827844902,50,41.0698726126483,61,20.0835228568772,8,47.9555894648165,50
"123","Nigeria",50.5590294385593,3,22.5984589524035,12,34.8359689159173,42,39.7901981889852,65,41.9778371189844,31
