"","Country","peaceavg","peacerank","justavg","justrank","instavg","instrank","econavg","econrank","resilavg","resilrank"
"98","Libya",74.0725138504237,21,NA,169,20.5794712182891,14,37.0309855068999,33,NA,161
"99","Lithuania",95.7152466076926,149,74.0825351699552,123,76.4618245642283,151,60.0614844375926,114,81.7236677810804,116
"100","Luxembourg",99.0459684331778,168,96.1518935932582,148,93.0603894352377,176,51.3027207734833,79,NA,162
"101","Macedonia, the former Yugoslav Republic of",85.5349228750402,82,63.7803048250809,109,55.6366649601867,112,NA,166,60.0929325682556,81
"102","Madagascar",81.4764038770575,51,46.8197560948094,54,33.958896712549,39,NA,167,40.3990078008961,16
"103","Malawi",86.5058673448334,86,25.0499204656987,13,43.1251909468487,68,30.2851761652749,19,39.3350605863123,14
"104","Malaysia",88.4504337633671,102,NA,170,64.3339447072974,130,64.0703155779406,133,66.3217812252193,95
"105","Maldives",89.5982227598509,114,53.376541329633,74,45.3885106076995,79,45.9309398826795,59,NA,163
"106","Mali",73.2071523847401,19,46.9415958754978,55,41.4053085976313,62,23.5420340659951,9,49.4898598947047,46
"107","Malta",96.5071112007159,155,83.3124626301599,134,82.6969031861632,162,45.7747477446707,58,NA,164
"108","Mauritania",80.2928366870282,43,38.3614805789646,32,34.1441366587673,40,25.4838608787985,13,44.125344170168,28
"109","Mauritius",95.9325735790862,150,NA,171,75.251590535642,148,58.0783768608287,105,56.7515457854497,73
"110","Mexico",66.8639327775479,9,54.3811554472535,77,60.5068193828598,125,53.4080261078608,92,56.7301493950199,72
"111","Moldova, Republic of",88.1268709419939,99,55.8911790255074,87,49.4078333966382,96,48.8377608864263,67,64.455288343515,90
"112","Mongolia",92.3356960700049,130,58.175110840356,91,48.3732764896607,93,53.1833103075705,86,61.8432950617873,86
"113","Montenegro",92.3735246159669,131,62.864250177683,108,57.1585534898891,116,NA,168,NA,165
"114","Morocco",84.0550350225014,63,58.2106474430568,92,46.1763315016198,84,41.8350638272189,47,53.7315287248528,65
"115","Mozambique",84.5997983678448,68,35.6245980979457,27,43.6053061548878,71,32.2688402884263,26,38.7959386595599,12
"116","Myanmar",75.1139045689799,24,37.5086021141458,31,18.66491081578,9,35.6822982033689,31,NA,166
"117","Namibia",95.6600866100977,147,62.0203968818041,106,59.1590158909064,120,48.1648122199109,65,46.5243890593182,35
"118","Nepal",79.0730561951686,39,34.0152976613531,24,35.6889198876476,47,34.6946305499353,28,53.8682166024687,66
"119","Netherlands",97.2868673578025,160,95.8055527351903,147,94.023182151596,178,56.296771738331,100,86.9742960737668,126
"120","New Zealand",99.9587346389694,172,98.6710438736025,151,94.506146940309,179,65.5641177261217,135,NA,167
"121","Nicaragua",86.1348976442195,84,49.0579979918999,60,41.7797880524385,65,37.512139826806,36,40.16080407335,15
"122","Niger",77.6992262155302,30,42.4859827844902,41,41.0698726126483,61,20.0835228568772,4,47.9555894648165,39
"123","Nigeria",50.5590294385593,3,22.5984589524035,9,34.8359689159173,42,NA,169,41.9778371189844,20
