Country/Territory,WBCode,PolStability,Voice,GovEffect,RegQuality,RuleofLaw,Corruption
"GAMBIA, THE",GMB,0.00,-0.64,-0.54,-0.51,-0.23,-1.28
GEORGIA,GEO,-0.67,0.25,-0.03,0.57,0.68,0.00
GERMANY,DEU,0.77,1.78,1.64,1.57,1.53,1.39
GHANA,GHA,0.11,-0.10,-0.03,-0.07,0.12,0.40
GREECE,GRC,-0.22,-0.25,0.39,0.31,0.50,0.67
GREENLAND,GRL,1.92,1.21,1.72,0.97,1.38,1.25
GRENADA,GRD,0.48,0.40,0.14,0.31,0.36,0.80
GUAM,GUM,0.82,0.82,1.14,-0.04,0.59,0.84
GUATEMALA,GTM,-0.66,-0.62,-1.10,-0.76,-0.18,-0.39
GUINEA,GIN,-1.28,-1.08,-1.44,-1.27,-1.02,-1.06
GUINEA-BISSAU,GNB,-0.96,-1.23,-1.52,-1.24,-1.24,-1.39
GUYANA,GUY,-0.48,-0.75,-0.52,-0.14,-0.63,-0.02
HAITI,HTI,-0.82,-1.24,-1.34,-1.63,-0.95,-0.79
HONDURAS,HND,-0.41,-0.94,-1.17,-0.72,-0.20,-0.49
"HONG KONG SAR, CHINA",HKG,0.98,1.71,1.56,1.82,1.94,0.62
HUNGARY,HUN,0.67,0.28,0.60,0.62,0.97,0.74
ICELAND,ISL,1.22,1.86,1.67,1.49,1.06,1.46
INDIA,IND,-1.25,-0.57,-0.10,-0.18,-0.47,0.38
INDONESIA,IDN,-0.58,-0.66,-0.60,-0.29,-0.28,0.04
"IRAN, ISLAMIC REP.",IRN,-1.33,-0.82,-0.90,-0.54,-1.43,-1.58
IRAQ,IRQ,-1.93,-1.23,-1.50,-1.11,-1.27,-1.12
IRELAND,IRL,0.92,1.45,1.73,1.53,1.56,1.32
ISRAEL,ISR,-1.07,0.83,0.92,1.25,1.16,0.62
ITALY,ITA,0.51,-0.03,0.36,0.41,0.73,0.89
JAMAICA,JAM,0.11,-0.36,-0.41,-0.02,0.23,0.44
JAPAN,JPN,0.92,1.61,1.32,1.40,1.12,1.09
"JERSEY, CHANNEL ISLANDS",JEY,1.47,1.21,1.72,1.42,1.16,1.25
JORDAN,JOR,-0.52,0.07,0.37,-0.04,0.18,-0.74
KAZAKHSTAN,KAZ,-0.38,-0.88,-0.66,-0.44,-0.39,-1.16
KENYA,KEN,-1.32,-1.10,-0.86,-0.55,-0.31,-0.30
KIRIBATI,KIR,1.32,0.00,0.11,-0.83,-1.36,0.79
"KOREA, DEM. REP.",PRK,-0.11,-1.37,-1.25,-1.93,-2.53,-2.18
"KOREA, REP.",KOR,0.24,0.47,0.97,1.20,0.89,0.70
