"","Country","BattleDeaths","InterpersonalInjuries","PolStability","Voice","GovEffect","RegQuality","RuleofLaw","Corruption","BirthRegistration","DTF2012rank","BLeducationyears","tenyearavg","SI.POV.GINI","Health.Care.Capabilities","Vulnerability"
"151","Netherlands",NA,0.000694028957759962,1.17,2.13,1.84,1.8,1.75,1.63,100,21,11.39,1.11690909090909,28.87,5,26.98
"152","Netherlands Antilles",NA,NA,1.16,0.82,0.88,0.74,0.83,0.4,NA,NA,NA,NA,NA,5,NA
"153","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"154","New Zealand",NA,0.00116591928251121,1.36,2.32,1.88,1.79,1.84,1.64,100,3,10.98,2.47172727272727,NA,5,27.22
"155","Nicaragua",NA,0.00757676902536716,-0.37,-0.78,-0.74,-0.89,-0.3,-0.54,85,118,6.61,3.30436363636364,45.73,2,54.63
"156","Niger",NA,0.00336888733461561,-1.16,-0.64,-0.71,-0.7,-0.61,-0.34,64,166,1.88,5.41945454545455,31.16,1,72.12
"157","Nigeria",812,0.0136803013611003,-2.06,-1.14,-1.18,-0.99,-0.72,-0.73,42,171,NA,10.413,42.95,1,68.33
"158","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Norfolk Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Norway",NA,0.00052062474969964,1.31,2.24,1.95,1.89,1.53,1.75,100,8,11.59,1.55754545454545,26.83,5,26.86
"162","Oman",NA,0.00114665057332529,0.45,0.08,0.58,0.26,0.47,-0.98,NA,48,NA,3.52845454545455,NA,3,42.75
"163","Pakistan",2804,0.00419903996427774,-2.69,-1.06,-0.91,-0.79,-0.73,-0.88,27,121,5.02,4.63863636363636,29.63,2,62.24
"164","Palau",NA,NA,1.06,-0.28,0.9,-0.56,-1.01,1.21,NA,126,NA,1.03236363636364,NA,2,NA
"165","Palestine, State of",NA,NA,-1.94,-0.78,-0.46,-0.75,0.11,-0.88,99,138,NA,NA,34.46,1,NA
